Content,Video title,Video publish time,Duration,Comments added,Average view duration,Shares,Likes,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
9p6Bk22NXt8,Three.js Lines: Exploding Effect,"Jul 9, 2024",908,0,0:01:16,0,0,47,0.9972,0,0.06,1279,2.03
BHM6RagphSc,Three.js: Buffer Geometry Part Two,"Jan 10, 2024",702,0,0:01:53,0,0,9,0.2841,0,0.012,330,0.61
BQ-ML0ewaGU,Three.js Beginner Project: SciFi Flight (encore),"Sep 2, 2024",684,0,0:01:30,0,5,80,2.0035,1,0.101,1106,2.89
Bd3I_cHZyGo,Three.js for Beginners: Add the Moon to the Earth,"May 21, 2024",264,0,0:01:25,0,1,38,0.9055,1,0.126,500,1.4
CQazp0y-bRw,Getting Started Coding Art with ThreeJs Part2,"Jul 17, 2021",1115,0,0:05:57,0,0,3,0.2979,0,0.005,175,0.57
D6oyccQHRbA,Pretty Polygons with Three.js,"Jun 20, 2022",1196,0,0:00:36,0,0,10,0.1026,0,0.009,249,0
G4AlMb49fA4,Add Awesome Audio FX Fast For #threejs,"Aug 26, 2024",60,0,0:00:31,0,18,235,2.0454,3,,3480,3.99
InvbGEtXPD8,Particle Flow Sim with JavaScript,"Nov 19, 2024",1237,0,0:03:01,0,3,71,3.5878,0,0.385,1687,2.25
JxXqPvZNQP4,Create 3D Text on the Web,"Jan 24, 2024",516,0,0:01:38,0,0,37,1.0159,0,0.046,401,1.5
KIMsUG-MQTo,Animated Line Art With Three.js,"Jun 25, 2024",815,0,0:01:22,2,2,144,3.3079,2,0.349,772,3.76
KwSSpRYmQUk,Coding a SciFi Flight,"Sep 14, 2021",893,0,0:02:26,0,0,12,0.4868,0,0.008,258,1.55
LtPVZUndoI0,Transform your Three.js Project with Sound FX,"Aug 27, 2024",308,0,0:01:14,0,0,63,1.2989,2,0.059,898,3.12
M4DlpXWv_eo,React Three Fiber Project: Orbit Trails,"Nov 12, 2024",1282,0,0:02:45,0,4,112,5.1453,3,0.359,1796,3.01
MGH5pUwL5Vo,Code Art with Sprites in THREE.js,"Jul 21, 2023",41,0,0:00:19,0,1,33,0.1761,0,,1077,1.49
NF4nuwJ9Y-8,My Coding Story,"Jun 23, 2020",347,0,0:02:03,0,0,5,0.1715,1,0.004,107,2.8
Nw9Vaeqcpag,How to make a Kaleidoscope Effect with Three.js,"Aug 17, 2022",1483,0,0:01:09,0,1,26,0.5044,0,0.136,351,2.56
NydMWj2YT4g,JavaScript Animation for Beginners,"May 22, 2020",814,0,0:00:21,0,0,4,0.0238,0,,75,4
O8T5Ef8KVas,ThreeJs – Subsurface Scattering,"Apr 15, 2023",577,0,0:00:56,0,0,24,0.3781,0,0.041,304,2.63
OErgZhwSLX0,Three.js Game Dev: Wormhole Blaster,"Aug 20, 2024",1076,0,0:01:35,1,3,118,3.1307,0,0.26,1489,4.16
Q7soTiQ1IBk,Three.js – Buffer Geometry Art,"Mar 14, 2022",1245,0,0:02:40,0,3,81,3.6135,1,0.095,570,3.68
Qzy6cQN6aqw,Three.js Animation with Motion Capture,"Feb 7, 2024",449,0,0:01:41,2,3,97,2.7313,0,0.097,500,4.8
RNwXaCPMxLI,Animated Short: Pasta Sauce For Cats,"Jul 2, 2024",260,0,0:01:56,0,0,8,0.2598,1,0.01,460,0.87
RfGhvUeZNXE,Three.js Painting Effects,"Jan 31, 2024",806,0,0:00:32,0,0,19,0.1714,0,0.044,330,1.52
RgoyCVXUVVM,Three.js Project: Creative Coding,"Sep 10, 2024",997,0,0:02:12,1,2,114,4.1858,1,0.213,1910,3.3
S8wh4iazeqc,"Three.js Physics: Roll the Dice, Part 2","Sep 21, 2024",388,0,0:01:04,1,1,39,0.7036,1,0.034,938,2.45
SFM9-DWgecI,My Workspace Setup,"Apr 22, 2022",543,0,0:02:13,0,4,72,2.6633,0,0.203,1321,2.65
SYR5GOfHJGc,Create a 3D Glowing Cube-iverse with Three.js,"Feb 14, 2024",967,0,0:02:44,0,1,48,2.1886,0,0.009,691,2.6
T9QVQo93Qlk,The Origins of Three.js,"Apr 23, 2024",366,0,0:02:54,0,1,14,0.6782,0,0.031,371,1.08
TmCx6b6Ni8Y,Three.js Project: Spinning Neon Cubes,"Jun 16, 2023",1419,0,0:03:12,0,1,24,1.2835,1,0.039,407,2.7
V4piptMZ_C4,Getting Started Coding Art with Three.js,"Jul 11, 2021",511,0,0:02:21,0,0,10,0.3937,0,0.018,234,2.14
V9rOVgK6pDQ,How to Get Ideas for Creative Projects,"Oct 22, 2024",541,0,0:02:59,0,4,46,2.2915,0,0.089,1143,2.36
Ve4Q5hrIVUg,Learn Three.js: Explosion Transition,"May 28, 2024",969,0,0:01:57,0,0,64,2.0938,2,0.152,525,3.05
W4CwiVEbdvg,3D Art Project with React Three Fiber,"Dec 3, 2024",735,0,0:01:09,0,4,86,1.6563,2,0.124,2225,1.71
WkHqgt2dPlg,Computer Vision with JavaScript,"Dec 27, 2023",381,0,0:01:25,0,1,35,0.8356,1,0.043,430,3.95
WzXwuQ95iQw,Getting Started with Three.js + React,"Jan 2, 2024",614,0,0:01:55,0,0,7,0.2244,0,0.01,409,1.47
XaDQI1HmoOQ,Coding Magic: Interactive Earth with Three.js,"Sep 24, 2024",608,0,0:01:04,1,1,275,4.9321,2,0.576,1579,3.86
YmwjIHGnGNM,"Computer Vision with JavaScript, Part 2","Jan 16, 2024",199,0,0:00:54,0,0,15,0.2289,0,0.011,319,1.25
_UArj2QH_Hk,Exploring Midjourney,"May 13, 2023",693,0,0:00:30,0,0,2,0.0168,0,0.006,303,0
a7qmBRAXqCY,Learn Three.js: Animated Text Effects,"Aug 6, 2024",1250,0,0:02:12,3,6,160,5.8758,1,0.686,988,4.96
agNZuqehHtg,Adding Physics to Three.js with Rapier,"Mar 6, 2024",665,0,0:02:00,2,5,175,5.8656,1,0.442,1269,3.39
b4bwE7rcD8Q,THREE.js Tutorial: Grid Layout,"Oct 19, 2023",1331,0,0:01:16,0,0,37,0.7886,0,0.023,310,3.55
b78_tqkBuLM,Three.js Beginner Tutorial: Animating Stuff,"Oct 2, 2024",1044,0,0:02:49,0,2,104,4.8832,2,0.229,2063,1.79
cAA0l2k-5m4,JavaScript Particle Effects,"Apr 10, 2022",1125,0,0:00:55,0,0,5,0.0764,0,0.033,255,1.18
ddigQi1mpvE,JavaScript Lighting FX: Fireflies,"Jan 21, 2022",1272,0,0:03:43,0,0,8,0.4972,0,0.008,306,1.63
eEWEpCkTL2k,After 2001: Traveling Effect,"Aug 30, 2021",331,0,0:00:18,0,0,22,0.1131,0,0.019,235,2.13
fvymtcRlsDU,Learn Code Art: Cuboid Branches with Three.js,"Aug 13, 2023",1281,0,0:00:14,0,0,5,0.0203,0,0.001,266,0.75
gsz3dgT-g3Q,Transition Effect with THREE.js,"Jul 3, 2023",513,0,0:00:46,0,1,108,1.4048,1,0.101,607,5.27
gvMNixP1S5o,Curl Noise Particle Effects: Part 2,"May 1, 2023",423,0,0:00:17,0,0,12,0.0575,0,0.14,268,1.49
gweQSqT66d4,Intro to Shaders in THREE.js,"Feb 20, 2023",716,0,0:03:11,0,0,24,1.2745,0,0.065,528,2.84
h1UQdbuF204,Learn Three.js: Simple Particle Effects,"Jun 4, 2024",709,0,0:01:17,1,12,580,12.4373,7,1.443,2290,5.02
hTH2Tpd0ORk,Swirling Rainbows with THREE.js,"Mar 13, 2023",1425,0,0:00:22,0,0,11,0.0673,0,0.022,246,0.81
j2jl6jFjFRQ,Three.js Tutorial : Fragmented Sculpture Art,"Jul 30, 2024",752,0,0:00:49,0,0,18,0.2479,0,0.007,688,1.02
jPbOKwXqdn8,Learn Three.js: Metaballs With Physics,"Jun 11, 2024",464,0,0:01:32,0,3,74,1.9107,0,0.043,761,2.1
kduBV0OhrII,How To Install Three.js,"Jun 18, 2024",432,0,0:02:07,5,13,759,26.8415,7,1.219,2769,11.52
npzvE952Ycs,Is Three.js Worth Learning?,"May 25, 2024",54,0,0:00:38,20,261,3752,40.6439,58,,56140,4.23
rmNMltWCdjQ,Three.js Project: Interactive Exploding Model,"Jul 17, 2024",1008,0,0:01:40,0,4,75,2.1008,1,0.308,762,3.15
rmVDXZywIA4,"Learn Three.js: Shadows, Color & RayCasting","May 14, 2024",1417,0,0:03:21,0,-1,32,1.7893,1,0.079,522,2.87
tBSzJstOGnM,Three.js Project: Vertex Earth,"Aug 13, 2024",1378,0,0:02:17,4,8,176,6.7431,2,0.295,2146,4.71
teKjrG4TqrI,X - Three.js Project: Realistic Rendering with Environment Maps,"Oct 15, 2024",603,0,0:05:05,0,0,2,0.1695,0,,57,3.51
tgwS1xxzc9s,Picking Objects in THREE.js,"Sep 13, 2023",1223,0,0:02:46,0,1,53,2.4545,0,0.218,558,1.97
tt8qKQzqV_o,THREE.js Random Code Art,"May 26, 2023",654,0,0:01:23,0,0,13,0.3019,0,0.006,575,1.04
vFqpFVcswcs,Code Art with Sprites!,"Jul 18, 2023",1420,0,0:00:25,0,0,12,0.0838,0,0.001,279,2.15
vvccfr-p79o,Improved Noise with React-Three-Fiber,"Nov 26, 2024",1009,0,0:02:42,1,3,89,4.015,1,0.193,2158,2.22
w2ljEVh3i5w,Noise Grid with THREE.js,"Feb 14, 2022",1284,0,0:01:24,0,1,44,1.0305,0,0.037,494,3.64
w_ku0HjutZI,Fly Thru a Wireframe Wormhole,"Mar 13, 2024",1304,0,0:03:39,1,0,68,4.1536,2,0.261,795,3.27
wtj0NZ1RRlk,I Built a Three.js Website in a Day,"Feb 21, 2024",1521,0,0:00:51,0,0,13,0.1852,0,0.007,357,2.52
wuiOMMAPb4s,Create a Simple Game with Three.js - Part 1,"Apr 16, 2024",540,0,0:00:54,0,0,19,0.2856,0,0.048,444,2.03
xH98Hb1rMhE,Animation in Three.js with Tween.js,"Apr 3, 2024",1049,0,0:02:30,0,0,62,2.5919,1,0.025,802,2.49
ylyLefnMc1c,Three.js Tutorial: How to Load a Model,"Oct 29, 2024",875,0,0:02:24,0,6,177,7.095,1,0.417,1821,4.28
zk2zJ3O7ZcY,Learn Three.js Basics,"Oct 31, 2024",37,0,0:00:18,0,5,75,0.3931,0,,1440,2.64
zsDsH8q41UE,Three.js Tutorial: Improved Noise,"Apr 10, 2024",1081,0,0:02:05,0,2,24,0.8373,1,0.035,381,0.79
zuBVpg6TX38,JavaScript + Three.js – Orbit Trails,"Jan 2, 2022",1351,0,0:01:34,0,0,56,1.4623,0,0.122,323,1.86
