Content,Video title,Video publish time,Duration,Comments added,Average view duration,Shares,Likes,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
SYR5GOfHJGc,Create a 3D Glowing Cube-iverse with Three.js,"Feb 14, 2024",967,4,0:02:39,3,34,645,28.6131,16,0.08,12257,2.41
rmVDXZywIA4,"Learn Three.js: Shadows, Color & RayCasting","May 14, 2024",1417,4,0:02:37,6,60,814,35.5005,15,0.116,17829,2.25
vvccfr-p79o,Improved Noise with React-Three-Fiber,"Nov 26, 2024",1009,4,0:02:20,9,35,499,19.51,5,1.031,7885,2.89
xH98Hb1rMhE,Animation in Three.js with Tween.js,"Apr 3, 2024",1049,4,0:02:20,7,40,1176,45.9951,16,0.29,17816,3.31
ylyLefnMc1c,Three.js Tutorial: How to Load a Model,"Oct 29, 2024",875,4,0:02:03,10,56,873,30.004,7,1.897,13296,3.4
JxXqPvZNQP4,Create 3D Text on the Web,"Jan 24, 2024",516,3,0:01:27,4,22,574,14.0098,3,0.196,10507,1.78
RNwXaCPMxLI,Animated Short: Pasta Sauce For Cats,"Jul 2, 2024",260,3,0:01:11,3,20,303,6.0343,3,0.034,14147,1.24
Ve4Q5hrIVUg,Learn Three.js: Explosion Transition,"May 28, 2024",969,3,0:02:12,9,51,949,35.0161,10,0.345,13964,2.59
zk2zJ3O7ZcY,Learn Three.js Basics,"Oct 31, 2024",37,3,0:00:18,7,43,758,3.9022,1,,7804,2.22
1Ww5BtQ8JlQ,Learn Three.js: Spirograph Art,"May 7, 2024",1038,2,0:02:01,2,32,533,17.9714,9,0.059,12067,2.3
G4AlMb49fA4,Add Awesome Audio FX Fast For #threejs,"Aug 26, 2024",60,2,0:00:29,5,179,2438,19.6735,13,,20753,3.98
InvbGEtXPD8,Particle Flow Sim with JavaScript,"Nov 19, 2024",1237,2,0:02:41,11,47,706,31.7057,6,1.571,13087,2.88
MGH5pUwL5Vo,Code Art with Sprites in THREE.js,"Jul 21, 2023",41,2,0:00:22,2,28,444,2.8062,1,,13698,2.07
WkHqgt2dPlg,Computer Vision with JavaScript,"Dec 27, 2023",381,2,0:01:46,11,43,762,22.5077,20,0.166,12226,2.99
hriAN0iX7zY,Learn Creative Coding with JavaScript,"Nov 22, 2023",541,2,0:01:48,4,12,323,9.7262,13,0.158,6399,2.06
teKjrG4TqrI,X - Three.js Project: Realistic Rendering with Environment Maps,"Oct 15, 2024",603,2,0:01:36,5,7,38,1.0136,0,,234,4.7
2hfdYAAKKME,Learn Three.js: MatCap Material,"Dec 6, 2021",728,1,0:01:48,2,26,1472,44.3183,13,0.535,10941,3.19
Il_GKGFggWY,Wormhole Effect,"Jul 20, 2022",1392,1,0:02:20,3,22,759,29.5363,13,0.221,7279,4.27
NF4nuwJ9Y-8,My Coding Story,"Jun 23, 2020",347,1,0:02:11,0,7,144,5.2684,3,0.159,2205,4.31
O8T5Ef8KVas,ThreeJs – Subsurface Scattering,"Apr 15, 2023",577,1,0:01:13,2,7,367,7.4607,4,0.125,5284,2.01
Q7soTiQ1IBk,Three.js – Buffer Geometry Art,"Mar 14, 2022",1245,1,0:02:33,5,17,1180,50.1585,6,0.34,10782,3.87
S8wh4iazeqc,"Three.js Physics: Roll the Dice, Part 2","Sep 21, 2024",388,1,0:01:09,2,19,403,7.7916,3,0.082,9478,2.55
TmCx6b6Ni8Y,Three.js Project: Spinning Neon Cubes,"Jun 16, 2023",1419,1,0:01:49,2,5,274,8.3079,5,0.17,6216,1.75
V4piptMZ_C4,Getting Started Coding Art with Three.js,"Jul 11, 2021",511,1,0:01:47,1,5,378,11.2591,4,0.06,4684,3.22
YmwjIHGnGNM,"Computer Vision with JavaScript, Part 2","Jan 16, 2024",199,1,0:01:02,6,53,939,16.4206,15,0.031,26650,2.54
gsz3dgT-g3Q,Transition Effect with THREE.js,"Jul 3, 2023",513,1,0:01:07,22,44,2328,43.847,24,0.372,22397,4.25
hTH2Tpd0ORk,Swirling Rainbows with THREE.js,"Mar 13, 2023",1425,1,0:02:00,0,6,160,5.3336,3,0.04,4827,1.31
1j6aCk2gOqs,Coding an Animated Starfield,"May 13, 2021",769,0,0:01:41,1,10,353,9.9536,1,0.119,3622,4.94
2f2R_Ki9Gq4,Overview of Code Art,"Apr 17, 2021",446,0,0:01:42,0,2,61,1.7395,1,0.001,2373,1.6
4T428AY50S8,Expanding Rainbow Shader,"Mar 31, 2023",1255,0,0:01:13,1,3,207,4.2294,6,0.062,4584,0.94
66nWhVoH1wY,My Aikido Story,"Sep 20, 2019",216,0,0:01:44,2,6,105,3.0483,0,0.045,491,16.09
BHM6RagphSc,Three.js: Buffer Geometry Part Two,"Jan 10, 2024",702,0,0:01:24,2,20,359,8.3791,3,0.029,11455,2.08
CQazp0y-bRw,Getting Started Coding Art with ThreeJs Part2,"Jul 17, 2021",1115,0,0:04:34,2,6,107,8.1696,2,0.013,3234,1.42
D6oyccQHRbA,Pretty Polygons with Three.js,"Jun 20, 2022",1196,0,0:01:11,0,5,195,3.8842,0,0.049,4225,1.54
FRzKpDCIDpI,Nic is a Puzzle Wizard,,62,0,0:01:43,0,0,3,0.086,0,,0,
KwSSpRYmQUk,Coding a SciFi Flight,"Sep 14, 2021",893,0,0:02:22,0,10,242,9.582,2,0.029,3967,2.85
Ly16o2aZBxk,"Water, Soap, Guar Gum and Baking Soda","May 1, 2020",36,0,0:00:20,0,1,27,0.1506,0,,383,3.66
Nw9Vaeqcpag,How to make a Kaleidoscope Effect with Three.js,"Aug 17, 2022",1483,0,0:01:26,3,10,357,8.6152,2,0.231,5294,2.46
NydMWj2YT4g,JavaScript Animation for Beginners,"May 22, 2020",814,0,0:02:54,0,4,139,6.7566,2,,1542,6.16
SFM9-DWgecI,My Workspace Setup,"Apr 22, 2022",543,0,0:02:20,0,9,511,19.9567,2,0.578,12415,2.26
WzXwuQ95iQw,Getting Started with Three.js + React,"Jan 2, 2024",614,0,0:02:11,1,18,344,12.541,4,0.035,9473,2.26
_UArj2QH_Hk,Exploring Midjourney,"May 13, 2023",693,0,0:01:52,0,2,99,3.1038,1,0.011,5664,1.08
b4bwE7rcD8Q,THREE.js Tutorial: Grid Layout,"Oct 19, 2023",1331,0,0:01:25,4,4,453,10.7417,3,0.109,6437,1.68
cAA0l2k-5m4,JavaScript Particle Effects,"Apr 10, 2022",1125,0,0:02:17,2,1,181,6.8924,0,0.036,4262,2.25
ddigQi1mpvE,JavaScript Lighting FX: Fireflies,"Jan 21, 2022",1272,0,0:02:14,0,9,212,7.9085,1,0.032,4646,2.17
djwPRflZcMM,MOVIESOCK Review: Rise Of Skywalker,,199,0,0:02:19,0,0,1,0.0389,0,,0,
eEWEpCkTL2k,After 2001: Traveling Effect,"Aug 30, 2021",331,0,0:00:19,0,6,307,1.6573,2,0.153,3706,3.75
fvymtcRlsDU,Learn Code Art: Cuboid Branches with Three.js,"Aug 13, 2023",1281,0,0:01:46,0,1,90,2.6714,0,0.004,5473,1.06
gvMNixP1S5o,Curl Noise Particle Effects: Part 2,"May 1, 2023",423,0,0:00:52,0,6,352,5.1751,3,0.167,5141,1.24
gweQSqT66d4,Intro to Shaders in THREE.js,"Feb 20, 2023",716,0,0:02:17,3,10,436,16.7057,5,0.201,9858,2.6
tgwS1xxzc9s,Picking Objects in THREE.js,"Sep 13, 2023",1223,0,0:03:11,0,9,521,27.7397,6,0.309,9038,2.2
tt8qKQzqV_o,THREE.js Random Code Art,"May 26, 2023",654,0,0:01:55,1,3,174,5.5788,0,0.02,6455,1.49
vFqpFVcswcs,Code Art with Sprites!,"Jul 18, 2023",1420,0,0:02:18,0,3,118,4.5389,0,0.012,5178,1.27
w2ljEVh3i5w,Noise Grid with THREE.js,"Feb 14, 2022",1284,0,0:01:43,5,11,772,22.1126,6,0.072,7331,3.3
zuBVpg6TX38,JavaScript + Three.js – Orbit Trails,"Jan 2, 2022",1351,0,0:02:13,3,13,774,28.6286,7,0.804,5398,2.63
