Content,Video title,Video publish time,Duration,Comments added,Average view duration,Shares,Likes,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
jPbOKwXqdn8,Learn Three.js: Metaballs With Physics,"Jun 11, 2024",464,6,0:01:15,8,62,1126,23.6101,21,0.213,15076,3.22
zsDsH8q41UE,Three.js Tutorial: Improved Noise,"Apr 10, 2024",1081,6,0:02:05,6,47,618,21.5147,12,0.142,12002,2.07
zuBVpg6TX38,JavaScript + Three.js – Orbit Trails,"Jan 2, 2022",1351,6,0:02:24,21,79,2415,97.2303,32,0.804,19341,3.57
1kxmeeUSCh8,Build a 3D Mandala Maker,"Mar 19, 2024",1665,5,0:02:57,1,22,347,17.0781,4,0.076,10402,1.95
9p6Bk22NXt8,Three.js Lines: Exploding Effect,"Jul 9, 2024",908,5,0:01:44,13,50,1122,32.5273,16,0.22,17961,3.1
KIMsUG-MQTo,Animated Line Art With Three.js,"Jun 25, 2024",815,5,0:01:37,19,88,2151,58.2376,26,1.273,19233,5.24
KwSSpRYmQUk,Coding a SciFi Flight,"Sep 14, 2021",893,5,0:02:12,5,48,726,26.748,17,0.029,9253,4.28
M7ARBA3EcZI,Three.js Roadmap,"Dec 17, 2024",357,5,0:01:58,14,114,1828,59.9704,27,2.263,20473,4.7
Qzy6cQN6aqw,Three.js Animation with Motion Capture,"Feb 7, 2024",449,5,0:01:37,16,45,1264,34.3625,12,0.473,12957,3.76
T9QVQo93Qlk,The Origins of Three.js,"Apr 23, 2024",366,5,0:02:12,6,60,677,25.0109,10,0.071,15001,2.24
TmCx6b6Ni8Y,Three.js Project: Spinning Neon Cubes,"Jun 16, 2023",1419,5,0:01:43,3,25,682,19.5667,12,0.17,13128,2.32
W4CwiVEbdvg,3D Art Project with React Three Fiber,"Dec 3, 2024",735,5,0:01:36,9,35,440,11.8089,2,0.429,7523,2.87
cAA0l2k-5m4,JavaScript Particle Effects,"Apr 10, 2022",1125,5,0:02:10,2,24,677,24.4892,11,0.036,10933,3.68
fvymtcRlsDU,Learn Code Art: Cuboid Branches with Three.js,"Aug 13, 2023",1281,5,0:01:49,2,24,388,11.8501,3,0.004,13729,1.84
wtj0NZ1RRlk,I Built a Three.js Website in a Day,"Feb 21, 2024",1521,5,0:02:33,5,45,1287,54.7494,8,0.016,20784,3.59
Bd3I_cHZyGo,Three.js for Beginners: Add the Moon to the Earth,"May 21, 2024",264,4,0:01:03,5,46,1023,18.1493,20,0.21,17526,3.2
Nw9Vaeqcpag,How to make a Kaleidoscope Effect with Three.js,"Aug 17, 2022",1483,4,0:01:23,4,41,1013,23.4865,19,0.231,12846,3.78
RSV7_f5dJhM,ThreeJs Tutorial: Textures,"Dec 11, 2024",618,4,0:02:10,5,33,527,19.0666,3,1.015,8308,3.08
RfGhvUeZNXE,Three.js Painting Effects,"Jan 31, 2024",806,4,0:01:18,0,29,480,10.4116,10,0.072,12938,1.82
SYR5GOfHJGc,Create a 3D Glowing Cube-iverse with Three.js,"Feb 14, 2024",967,4,0:02:39,3,34,645,28.6131,16,0.08,12257,2.41
V4piptMZ_C4,Getting Started Coding Art with Three.js,"Jul 11, 2021",511,4,0:01:28,17,106,3377,82.8315,50,0.06,50993,3.69
WkHqgt2dPlg,Computer Vision with JavaScript,"Dec 27, 2023",381,4,0:01:45,14,89,1276,37.4175,32,0.166,27241,2.88
gvMNixP1S5o,Curl Noise Particle Effects: Part 2,"May 1, 2023",423,4,0:00:59,8,36,943,15.4838,20,0.167,11593,2.79
hriAN0iX7zY,Learn Creative Coding with JavaScript,"Nov 22, 2023",541,4,0:01:40,5,33,570,15.9911,18,0.158,15663,1.92
rmVDXZywIA4,"Learn Three.js: Shadows, Color & RayCasting","May 14, 2024",1417,4,0:02:37,6,60,814,35.5005,15,0.116,17829,2.25
tt8qKQzqV_o,THREE.js Random Code Art,"May 26, 2023",654,4,0:01:31,1,21,483,12.2786,4,0.02,12298,2.38
vvccfr-p79o,Improved Noise with React-Three-Fiber,"Nov 26, 2024",1009,4,0:02:20,9,35,499,19.51,5,1.031,7885,2.89
xH98Hb1rMhE,Animation in Three.js with Tween.js,"Apr 3, 2024",1049,4,0:02:20,7,40,1176,45.9951,16,0.29,17816,3.31
ylyLefnMc1c,Three.js Tutorial: How to Load a Model,"Oct 29, 2024",875,4,0:02:03,10,56,873,30.004,7,1.897,13296,3.4
CQazp0y-bRw,Getting Started Coding Art with ThreeJs Part2,"Jul 17, 2021",1115,3,0:02:39,5,26,650,28.8396,10,0.013,12126,2.25
JxXqPvZNQP4,Create 3D Text on the Web,"Jan 24, 2024",516,3,0:01:27,4,22,574,14.0098,3,0.196,10507,1.78
RNwXaCPMxLI,Animated Short: Pasta Sauce For Cats,"Jul 2, 2024",260,3,0:01:11,3,20,303,6.0343,3,0.034,14147,1.24
Ve4Q5hrIVUg,Learn Three.js: Explosion Transition,"May 28, 2024",969,3,0:02:12,9,51,949,35.0161,10,0.345,13964,2.59
hTH2Tpd0ORk,Swirling Rainbows with THREE.js,"Mar 13, 2023",1425,3,0:01:47,6,47,891,26.5572,13,0.04,14445,3.36
zk2zJ3O7ZcY,Learn Three.js Basics,"Oct 31, 2024",37,3,0:00:18,7,43,758,3.9022,1,,7804,2.22
1Ww5BtQ8JlQ,Learn Three.js: Spirograph Art,"May 7, 2024",1038,2,0:02:01,2,32,533,17.9714,9,0.059,12067,2.3
1j6aCk2gOqs,Coding an Animated Starfield,"May 13, 2021",769,2,0:01:36,3,20,799,21.3367,4,0.119,9529,4.87
66nWhVoH1wY,My Aikido Story,"Sep 20, 2019",216,2,0:01:53,13,27,549,17.2537,7,0.045,2717,7.95
D6oyccQHRbA,Pretty Polygons with Three.js,"Jun 20, 2022",1196,2,0:01:36,4,31,705,18.9737,4,0.049,9252,3.35
G4AlMb49fA4,Add Awesome Audio FX Fast For #threejs,"Aug 26, 2024",60,2,0:00:29,5,179,2438,19.6735,13,,20753,3.98
InvbGEtXPD8,Particle Flow Sim with JavaScript,"Nov 19, 2024",1237,2,0:02:41,11,47,706,31.7057,6,1.571,13087,2.88
MGH5pUwL5Vo,Code Art with Sprites in THREE.js,"Jul 21, 2023",41,2,0:00:22,4,39,590,3.6217,1,,15993,2.16
NF4nuwJ9Y-8,My Coding Story,"Jun 23, 2020",347,2,0:02:10,0,20,294,10.681,6,0.159,4047,4.99
WzXwuQ95iQw,Getting Started with Three.js + React,"Jan 2, 2024",614,2,0:01:56,5,32,589,19.1288,6,0.035,15568,2.59
teKjrG4TqrI,X - Three.js Project: Realistic Rendering with Environment Maps,"Oct 15, 2024",603,2,0:01:36,5,7,38,1.0136,0,,234,4.7
tgwS1xxzc9s,Picking Objects in THREE.js,"Sep 13, 2023",1223,2,0:02:11,6,38,1148,41.9432,21,0.309,31178,2
S8wh4iazeqc,"Three.js Physics: Roll the Dice, Part 2","Sep 21, 2024",388,1,0:01:09,2,19,403,7.7916,3,0.082,9478,2.55
YmwjIHGnGNM,"Computer Vision with JavaScript, Part 2","Jan 16, 2024",199,1,0:01:02,6,53,939,16.4206,15,0.031,26650,2.54
_UArj2QH_Hk,Exploring Midjourney,"May 13, 2023",693,1,0:01:48,0,5,194,5.8736,2,0.011,8370,1.33
b4bwE7rcD8Q,THREE.js Tutorial: Grid Layout,"Oct 19, 2023",1331,1,0:01:38,6,36,855,23.3097,6,0.109,19187,1.99
ddigQi1mpvE,JavaScript Lighting FX: Fireflies,"Jan 21, 2022",1272,1,0:01:50,9,54,942,28.8447,12,0.032,13956,4.08
eEWEpCkTL2k,After 2001: Traveling Effect,"Aug 30, 2021",331,1,0:00:24,0,13,585,4.0002,6,0.153,6577,5.23
vFqpFVcswcs,Code Art with Sprites!,"Jul 18, 2023",1420,1,0:01:55,1,25,399,12.8108,3,0.012,9904,1.83
2f2R_Ki9Gq4,Overview of Code Art,"Apr 17, 2021",446,0,0:01:38,1,3,135,3.7048,2,0.001,4052,2.05
BHM6RagphSc,Three.js: Buffer Geometry Part Two,"Jan 10, 2024",702,0,0:01:24,2,20,359,8.3791,3,0.029,11455,2.08
FRzKpDCIDpI,Nic is a Puzzle Wizard,,62,0,0:01:02,0,0,13,0.2252,1,,0,
Ly16o2aZBxk,"Water, Soap, Guar Gum and Baking Soda","May 1, 2020",36,0,0:00:20,0,1,107,0.5973,0,,1666,3.78
NydMWj2YT4g,JavaScript Animation for Beginners,"May 22, 2020",814,0,0:02:16,0,7,264,10.0229,2,,4113,4.33
SFM9-DWgecI,My Workspace Setup,"Apr 22, 2022",543,0,0:02:15,0,17,655,24.6845,2,0.578,16659,2.29
gweQSqT66d4,Intro to Shaders in THREE.js,"Feb 20, 2023",716,0,0:02:00,9,38,1000,33.4449,9,0.201,22032,2.94
